bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;mes;hora;periodo;lat;long;alt;estacao;tempAR;tempSOL;peso;temp.conf
1;4;129;34.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;130;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;131;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;10;NAO
1;4;132;36.67;Arachnida;Araneae;Zodariidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;3;NAO
1;4;133;40.67;Arachnida;Araneae;Zodariidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;20;NAO
1;4;134;30.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;8;NAO
1;4;135;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;136;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;137;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;28;NAO
1;4;138;34.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;6;NAO
1;4;139;36.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;140;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;142;37.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;143;36.00;Insecta;Hymenoptera;Formicidae;Dolichoderinae;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;145;38.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;146;31.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;150;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;18;NAO
1;4;151;34.00;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;152;35.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;153;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;154;37.33;Arachnida;Araneae;Ctenidae;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;155;37.00;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;5;156;32.67;Arachnida;Araneae;NA;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;157;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;22;NAO
1;5;158;35.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;159;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;160;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;161;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;162;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
1;5;163;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;5;NAO
1;5;164;37.00;Arachnida;Araneae;NA;NA;NA;MataAtlantica;mai/11;17:01:57;TARDE;-23.65098;-45.87517;790;Boraceia;NA;21.50;1;NAO
